sigma,ac_fallen,a_fallen,c_fallen,none_fallen,ac_touchGround,a_touchGround,c_touchGround,none_touchGround,n_wiggles,stimulus
0.5,1,0,0,0,0.907,0.048,0.038,0.007,1000,S1-121
0.5,0,1,0,0,0,0.579,0,0.421,1000,S10-203
0.5,0,1,0,0,0,0.999,0,0.001,1000,S12-203
0.5,0.799,0.201,0,0,0.098,0.3,0.011,0.591,1000,S15-443
0.5,0.827,0.173,0,0,0.179,0.262,0.031,0.528,1000,S20-468
0.5,0.801,0.199,0,0,0.335,0.643,0.002,0.02,1000,S22-468
0.5,0,0,0,1,0,0,0,1,1000,S30-805
0.5,0,0,0,1,0,0,0,1,1000,S32-806
0.5,0,0,0,1,0,0,0,1,1000,S34-806
0.5,0.001,0.002,0,0.997,0,0,0,1,1000,S42-806
0.5,0,0,0,1,0,0,0,1,1000,S44-806
0.5,0,0,0,1,0,0,0,1,1000,S54-806
0.5,0,0,0.786,0.214,0,0,0.785,0.215,1000,S55-1006
0.5,0,0,0.828,0.172,0,0,0.417,0.583,1000,S57-1007
0.5,0,0,0.881,0.119,0,0,0.879,0.121,1000,S59-1007
0.5,0.007,0,0.794,0.199,0,0,0.133,0.867,1000,S63-1039
0.5,1,0,0,0,0.905,0.062,0.018,0.015,1000,S7-130
0.5,0,1,0,0,0,0.679,0,0.321,1000,S8-202
0.5,0.64,0.183,0.14,0.037,0.332,0.139,0.147,0.382,1000,S83-1609
0.5,0.667,0.164,0.132,0.037,0.348,0.22,0.18,0.252,1000,S89-1642
0.5,0.61,0.141,0.201,0.048,0.176,0.572,0.05,0.202,1000,S93-1674
0.5,1,0,0,0,0,1,0,0,1000,S97-1674
0.5,1,0,0,0,1,0,0,0,1000,S7-130-dep
0.5,0,0,0,1,0,0,0,1,1000,S30-805-dep
0.5,0.994,0.001,0,0.005,0.979,0,0.001,0.02,1000,S89-1642-dep
1,1,0,0,0,0.89,0.052,0.05,0.008,1000,S1-121
1,0,1,0,0,0,0.513,0,0.487,1000,S10-203
1,0,1,0,0,0,0.999,0,0.001,1000,S12-203
1,0.723,0.277,0,0,0.116,0.326,0.007,0.551,1000,S15-443
1,0.733,0.267,0,0,0.207,0.312,0.042,0.439,1000,S20-468
1,0.749,0.251,0,0,0.358,0.615,0.006,0.021,1000,S22-468
1,0,0,0,1,0,0,0,1,1000,S30-805
1,0,0,0,1,0,0,0,1,1000,S32-806
1,0,0,0,1,0,0,0,1,1000,S34-806
1,0.02,0.021,0,0.959,0,0,0,1,1000,S42-806
1,0,0,0,1,0,0,0,1,1000,S44-806
1,0,0,0,1,0,0,0,1,1000,S54-806
1,0,0,0.713,0.287,0,0,0.712,0.288,1000,S55-1006
1,0,0,0.739,0.261,0,0,0.39,0.61,1000,S57-1007
1,0,0,0.813,0.187,0,0,0.813,0.187,1000,S59-1007
1,0.01,0,0.738,0.252,0,0,0.144,0.856,1000,S63-1039
1,1,0,0,0,0.872,0.078,0.026,0.024,1000,S7-130
1,0.002,0.998,0,0,0,0.645,0,0.355,1000,S8-202
1,0.556,0.185,0.188,0.071,0.279,0.149,0.18,0.392,1000,S83-1609
1,0.526,0.181,0.209,0.084,0.276,0.209,0.2,0.315,1000,S89-1642
1,0.512,0.188,0.212,0.088,0.127,0.568,0.055,0.25,1000,S93-1674
1,1,0,0,0,0,1,0,0,1000,S97-1674
1,1,0,0,0,0.998,0,0,0.002,1000,S7-130-dep
1,0,0,0,1,0,0,0,1,1000,S30-805-dep
1,0.98,0,0.002,0.018,0.972,0,0,0.028,1000,S89-1642-dep
2.5,1,0,0,0,0.818,0.059,0.081,0.042,1000,S1-121
2.5,0,1,0,0,0,0.458,0,0.542,1000,S10-203
2.5,0,1,0,0,0,0.985,0,0.015,1000,S12-203
2.5,0.633,0.367,0,0,0.137,0.312,0.02,0.531,1000,S15-443
2.5,0.629,0.371,0,0,0.286,0.318,0.026,0.37,1000,S20-468
2.5,0.644,0.356,0,0,0.368,0.609,0.002,0.021,1000,S22-468
2.5,0,0,0,1,0,0,0,1,1000,S30-805
2.5,0,0,0,1,0,0,0,1,1000,S32-806
2.5,0,0,0,1,0,0,0,1,1000,S34-806
2.5,0.141,0.046,0.001,0.812,0,0,0.001,0.999,1000,S42-806
2.5,0,0.007,0,0.993,0,0.007,0,0.993,1000,S44-806
2.5,0.001,0,0,0.999,0,0,0,1,1000,S54-806
2.5,0,0,0.611,0.389,0,0,0.609,0.391,1000,S55-1006
2.5,0,0,0.664,0.336,0,0,0.406,0.594,1000,S57-1007
2.5,0,0,0.719,0.281,0,0,0.718,0.282,1000,S59-1007
2.5,0.009,0,0.651,0.34,0,0,0.128,0.872,1000,S63-1039
2.5,1,0,0,0,0.873,0.064,0.032,0.031,1000,S7-130
2.5,0.014,0.986,0,0,0,0.654,0,0.346,1000,S8-202
2.5,0.403,0.236,0.228,0.133,0.226,0.206,0.179,0.389,1000,S83-1609
2.5,0.429,0.224,0.244,0.103,0.232,0.236,0.223,0.309,1000,S89-1642
2.5,0.436,0.211,0.222,0.131,0.11,0.534,0.056,0.3,1000,S93-1674
2.5,1,0,0,0,0,1,0,0,1000,S97-1674
2.5,1,0,0,0,0.997,0.003,0,0,1000,S7-130-dep
2.5,0,0,0,1,0,0,0,1,1000,S30-805-dep
2.5,0.952,0.005,0.007,0.036,0.943,0.001,0,0.056,1000,S89-1642-dep
