"id","pa","pc","pc_given_a","pa_given_c","dependence.c","dependence.a"
"S1-121","high","high","uncertain","uncertain",1,1
"S7-130","high","high","high","high",0,0
"S8-202","high","low","low","low",0,2
"S10-203","high","low","low","uncertain",0,1
"S12-203","high","low","low","high",0,0
"S15-443","high","uncertain","low","uncertain",1,1
"S20-468","high","uncertain","uncertain","uncertain",0,1
"S22-468","high","uncertain","uncertain","high",0,0
"S30-805","low","low","low","low",0,0
"S32-806","low","low","low","uncertain",0,1
"S34-806","low","low","low","high",0,2
"S42-806","low","low","uncertain","uncertain",1,1
"S44-806","low","low","uncertain","high",1,2
"S54-806","low","low","high","high",2,2
"S55-1006","low","uncertain","low","low",1,0
"S57-1007","low","uncertain","uncertain","low",0,0
"S59-1007","low","uncertain","high","low",1,0
"S63-1039","low","uncertain","high","uncertain",1,1
"S83-1609","uncertain","uncertain","low","low",1,1
"S89-1642","uncertain","uncertain","uncertain","uncertain",0,0
"S93-1674","uncertain","uncertain","uncertain","high",0,1
"S97-1674","uncertain","uncertain","high","high",1,1
